scenario,tasks_n,vms_n,load_level,selection,crossover,mutation,mean_fitness,std_fitness,mean_cost,mean_response_time,mean_resource_utilization,mean_jains_fairness_index
low_load,20,4,low,tournament,one_point,random_reset,3301.2485192623626,805.075137296946,2250.401578039461,857.5136078895681,0.6942128178335075,0.613310960547835
low_load,20,4,low,tournament,one_point,swap,3301.5249456040106,800.0996285579923,2257.4019394264737,854.1230061775374,0.6942128178335075,0.6192971395082807
low_load,20,4,low,tournament,uniform,random_reset,3305.0214261320084,803.4288347042327,2242.824722809417,852.196703322591,0.6942128178335075,0.5931565401514581
low_load,20,4,low,tournament,uniform,swap,3304.552092006419,802.0755379282909,2239.0559177404493,868.8295075993036,0.6942128178335075,0.6058629908783116
low_load,20,4,low,roulette,one_point,random_reset,3300.034593705479,800.7802698242465,2269.137073051225,847.564187320921,0.6942128178335075,0.6100647703858734
low_load,20,4,low,roulette,one_point,swap,3312.4575919493764,806.560840811499,2284.7470395090745,837.710552440302,0.6942128178335075,0.591869827575927
low_load,20,4,low,roulette,uniform,random_reset,3301.2653727672937,799.5641094807844,2216.5055114150487,864.7598613522454,0.6942128178335075,0.5940385156504523
low_load,20,4,low,roulette,uniform,swap,3303.1662863762463,806.4118504245357,2232.021860204835,864.4777595047445,0.6942128178335075,0.5816495651239904
medium_load,50,10,medium,tournament,one_point,random_reset,13309.530341369753,1619.6240778276876,9545.896961210377,1910.3000468260425,1.3031593186139456,0.5250910624635519
medium_load,50,10,medium,tournament,one_point,swap,13418.57438730858,1688.3157075301629,10197.88357283691,1677.3574811383332,1.3031593186139456,0.6782542862572036
medium_load,50,10,medium,tournament,uniform,random_reset,13275.557205372446,1625.869387759796,9513.642351954797,1981.9148534176481,1.3031593186139456,0.5392223677143232
medium_load,50,10,medium,tournament,uniform,swap,13308.59121079072,1588.2197515086295,9767.80429245228,1834.120251671776,1.3031593186139456,0.5902063527216316
medium_load,50,10,medium,roulette,one_point,random_reset,13290.975883993766,1617.9304356754349,9651.22158000296,1833.087637324137,1.3031593186139456,0.5564476012369846
medium_load,50,10,medium,roulette,one_point,swap,13447.451582410182,1628.651379328887,10122.86556647383,1737.9193492696825,1.3031593186139456,0.6307091109007191
medium_load,50,10,medium,roulette,uniform,random_reset,13316.512737838604,1580.691097170284,9746.559918547418,1806.6194859578507,1.3031593186139456,0.5695653924625291
medium_load,50,10,medium,roulette,uniform,swap,13446.952377014934,1712.8066563766629,10045.836424234854,1801.1159527800808,1.3031593186139456,0.6152315316794692
high_load,100,20,high,tournament,one_point,random_reset,51432.812953683744,5417.27966734357,35802.4591172419,6593.687169775173,2.2251536771570564,0.33596684407274835
high_load,100,20,high,tournament,one_point,swap,53343.85802512391,4980.519654286958,38876.95477543079,5726.903249693114,2.2251536771570564,0.3830899230473758
high_load,100,20,high,tournament,uniform,random_reset,51363.710441115654,5454.048468587316,34877.02340633775,7043.353701444569,2.2251536771570564,0.3169261300157842
high_load,100,20,high,tournament,uniform,swap,50053.4879069925,5547.009350007511,33159.44408219232,7260.71049146685,2.2251536771570564,0.2759332474761702
high_load,100,20,high,roulette,one_point,random_reset,50203.70950640627,5806.225181650798,33275.767724383586,6974.608448689342,2.2251536771570564,0.2787655592731675
high_load,100,20,high,roulette,one_point,swap,54029.51416320603,5183.957285431918,40401.17825420862,5498.335908997404,2.2251536771570564,0.42065431955767485
high_load,100,20,high,roulette,uniform,random_reset,50242.28239099042,5750.881902920737,33155.93517966021,7289.680544663542,2.2251536771570564,0.2800297632518612
high_load,100,20,high,roulette,uniform,swap,54334.69216929661,5229.551345027552,40649.59530410771,5338.430198522238,2.2251536771570564,0.43342317973492234
